datetime, value
2016021013,0
2016021014,0
2016021015,0
2016021016,0
2016021017,0
2016021018,0
2016021019,0
2016021020,514
2016021021,829
2016021022,965
2016021023,1015
2016021100,1019
2016021101,1023
2016021102,1029
2016021103,1019
2016021104,1023
2016021105,996
2016021106,827
2016021107,690
2016021108,232
2016021109,0
2016021110,0
2016021111,0
2016021112,0
2016021113,0
2016021114,0
2016021115,0
2016021116,0
2016021117,0
2016021118,0
2016021119,0
2016021120,449
2016021121,781
2016021122,932
2016021123,991
2016021200,1000
2016021201,1002
2016021202,1003
2016021203,1005
2016021204,1023
2016021205,1004
2016021206,910
2016021207,575
2016021208,170
2016021209,0
2016021210,0
2016021211,0
2016021212,0
2016021213,0
2016021214,0
2016021215,0
2016021216,0
2016021217,0
2016021218,0
2016021219,0
2016021220,328
2016021221,660
2016021222,719
2016021223,764
2016021300,32
2016021301,704
2016021302,691
2016021303,18
2016021304,21
2016021305,64
2016021306,90
2016021307,64
2016021308,19
2016021309,0
2016021310,0
2016021311,0
2016021312,0
2016021313,0
2016021314,0
2016021315,0
2016021316,0
2016021317,0
2016021318,0
2016021319,0
2016021320,550
2016021321,860
2016021322,981
2016021323,1020
2016021400,1013
2016021401,998
2016021402,1003
2016021403,1020
2016021404,1032
2016021405,1016
2016021406,834
2016021407,599
2016021408,136
2016021409,0
2016021410,0
2016021411,0
2016021412,0
2016021413,0
2016021414,0
2016021415,0
2016021416,0
2016021417,0
2016021418,0
2016021419,0
2016021420,469
2016021421,807
2016021422,952
2016021423,1007
2016021500,1012
2016021501,1004
2016021502,-999
2016021503,1017
2016021504,1028
2016021505,1008
2016021506,916
2016021507,678
2016021508,131
2016021509,0
2016021510,0
2016021511,0
2016021512,0
2016021513,0
2016021514,0
2016021515,0
2016021516,0
2016021517,0
2016021518,0
2016021519,0
2016021520,425
2016021521,789
2016021522,929
2016021523,627
2016021600,966
2016021601,-999
2016021602,993
2016021603,1007
2016021604,1019
2016021605,1018
2016021606,-999
2016021607,667
2016021608,104
