Time,Power_output,GHI,DNI,Amb_temp,pred_GHI,pred_DNI,pred_Amb_temp
2017-02-09 19:00:00,0.0,94.0,454.0,41.4,145.2480865690426,473.62619718557926,40.42254509540018
2017-02-09 19:30:00,0.0,47.0,227.0,41.35,22.64535740558363,302.9941720768203,42.19907337042299
2017-02-09 20:00:00,0.0,0.0,0.0,40.449999999999996,0.0,0.0,39.70446888449678
2017-02-09 20:30:00,0.0,0.0,0.0,39.5,0.0,0.0,41.81779337237744
2017-02-09 21:00:00,0.0,0.0,0.0,38.75,0.0,0.0,36.937690292289616
2017-02-09 21:30:00,0.0,0.0,0.0,37.199999999999996,0.0,0.0,37.23013276020458
2017-02-09 22:00:00,0.0,0.0,0.0,30.5,0.0,0.0,32.37155056731689
2017-02-09 22:30:00,0.0,0.0,0.0,28.45,0.0,0.0,29.032128473457142
2017-02-09 23:00:00,0.0,0.0,0.0,27.2,0.0,0.0,26.780399472284433
2017-02-09 23:30:00,0.0,0.0,0.0,26.450000000000003,0.0,0.0,26.05340105327706
2017-02-10 00:00:00,0.0,0.0,0.0,25.55,0.0,0.0,25.653622795485667
2017-02-10 00:30:00,0.0,0.0,0.0,24.749999999999996,0.0,0.0,22.00080731089848
2017-02-10 01:00:00,0.0,0.0,0.0,24.400000000000002,0.0,0.0,25.148154431003046
2017-02-10 01:30:00,0.0,0.0,0.0,24.149999999999995,0.0,0.0,23.682993239921583
2017-02-10 02:00:00,0.0,0.0,0.0,23.849999999999998,0.0,0.0,24.802732970019083
2017-02-10 02:30:00,0.0,0.0,0.0,23.400000000000002,0.0,0.0,24.208212800263503
2017-02-10 03:00:00,0.0,0.0,0.0,22.900000000000002,0.0,0.0,24.067014933420232
2017-02-10 03:30:00,0.0,0.0,0.0,22.599999999999998,0.0,0.0,19.42928401879216
2017-02-10 04:00:00,0.0,0.0,0.0,22.249999999999996,0.0,0.0,20.965119879178054
2017-02-10 04:30:00,0.0,0.0,0.0,21.7,0.0,0.0,21.254651849070346
2017-02-10 05:00:00,0.0,0.0,0.0,21.5,0.0,0.0,21.945765269272503
2017-02-10 05:30:00,0.0,0.0,0.0,21.3,0.0,0.0,22.03899882931287
2017-02-10 06:00:00,0.0,0.0,0.0,21.3,0.0,0.0,18.463901960190523
2017-02-10 06:30:00,0.0,55.0,199.0,21.250000000000004,1.6901736782761887,282.06676561822417,20.020673420990406
2017-02-10 07:00:00,0.0,110.0,398.0,21.150000000000002,143.55265656772792,339.99832597758444,22.391663554823918
2017-02-10 07:30:00,0.0,216.0,566.0,21.249999999999996,219.94910378931544,645.6891842963236,23.154690093672144
2017-02-10 08:00:00,0.0,322.0,734.0,21.900000000000002,313.7510483780973,632.4614989537969,21.064532734985058
2017-02-10 08:30:00,0.0,441.0,839.0,23.5,417.24492571762175,695.2187849592319,21.864264847106213
2017-02-10 09:00:00,0.0,560.0,944.0,25.2,529.6692643339643,961.9686119998471,28.271203681678255
2017-02-10 09:30:00,0.0,660.0,980.0,26.799999999999997,729.634024522914,1179.7831938984102,27.028223254208832
2017-02-10 10:00:00,0.0,760.0,1016.0,28.400000000000002,893.9709123917872,934.9284710406376,27.105162986585665
2017-02-10 10:30:00,15.281380011253345,835.5,1029.5,30.049999999999997,967.4105931468443,851.7211020544066,32.68743784056094
2017-02-10 11:00:00,48.67792431434651,911.0,1043.0,31.7,1002.492542812796,1046.0743980879456,32.19114078486152
2017-02-10 11:30:00,44.762363548973475,956.5,1045.5,32.9,1010.1299698865512,1146.5809819880828,32.27771618712012
2017-02-10 12:00:00,63.72817355749343,1002.0,1048.0,34.4,1073.7810167806224,1100.9630492492433,34.720692745992345
2017-02-10 12:30:00,91.62236104618667,1015.5,1048.5,35.550000000000004,953.6052463689181,962.7291833341769,36.44647888569591
2017-02-10 13:00:00,44.22783947000011,1029.0,1049.0,36.6,1094.5732002430766,1014.4593910545792,36.46025467411236
2017-02-10 13:30:00,0.0,1012.0,1050.5,38.0,1077.2494297492935,986.0048662180474,38.13406380684914
2017-02-10 14:00:00,29.519616551013257,995.0,1052.0,38.25000000000001,1019.6120799246941,1076.4399733693353,38.82087075235363
2017-02-10 14:30:00,0.0,927.0,1018.0,39.4,986.5331754622138,1005.3679611689419,39.96523700511336
2017-02-10 15:00:00,5.537445495919976,859.0,984.0,40.25,869.930485308322,1019.0067540813158,42.63364470545266
2017-02-10 15:30:00,37.53996628018666,799.0,1009.0,40.699999999999996,627.7110520663382,1044.9631479576701,39.25297369910365
2017-02-10 16:00:00,32.3003082711735,739.0,1034.0,41.1,804.3764125852692,1217.476507144824,40.33348699806662
2017-02-10 16:30:00,38.46310532387998,635.0,995.0,41.25,521.1399685737372,910.8172913975859,42.424951777439325
2017-02-10 17:00:00,46.00075997380008,531.0,956.0,41.65,463.03609053676075,1017.602845812234,43.22431940559424
2017-02-10 17:30:00,31.48639109010664,412.5,857.5,41.99999999999999,348.01934320612554,1012.7485531995569,42.33310082989939
2017-02-10 18:00:00,10.127260392253175,294.0,759.0,41.949999999999996,341.0509281052319,801.9914786705841,39.667445111641115
2017-02-10 18:30:00,0.0,190.0,583.5,41.699999999999996,116.13479085178552,373.7047276551308,40.76265557649425
2017-02-10 19:00:00,0.0,86.0,408.0,41.25,33.014568474633855,407.65299808598894,41.3879225037692
2017-02-10 19:30:00,0.0,43.0,204.0,40.6,12.669248057193194,271.95764764652074,41.610561742323824
2017-02-10 20:00:00,0.0,0.0,0.0,39.65,0.0,0.0,39.903291700757364
2017-02-10 20:30:00,0.0,0.0,0.0,38.35,0.0,0.0,39.02479079645484
2017-02-10 21:00:00,0.0,0.0,0.0,36.9,0.0,0.0,38.7131240919192
2017-02-10 21:30:00,0.0,0.0,0.0,35.849999999999994,0.0,0.0,33.93455944136696
2017-02-10 22:00:00,0.0,0.0,0.0,35.15,0.0,0.0,33.80279038605638
2017-02-10 22:30:00,0.0,0.0,0.0,34.00000000000001,0.0,0.0,33.66448838029876
2017-02-10 23:00:00,0.0,0.0,0.0,31.850000000000005,0.0,0.0,33.191166563965595
2017-02-10 23:30:00,0.0,0.0,0.0,30.650000000000002,0.0,0.0,30.69194557028731
2017-02-11 00:00:00,0.0,0.0,0.0,29.45,0.0,0.0,27.995696718335402
2017-02-11 00:30:00,0.0,0.0,0.0,28.450000000000003,0.0,0.0,26.555783786455564
2017-02-11 01:00:00,0.0,0.0,0.0,27.650000000000002,0.0,0.0,28.627157306594793
2017-02-11 01:30:00,0.0,0.0,0.0,27.100000000000005,0.0,0.0,29.302032322522223
